排名,排名变化,姓名,财富（亿元人民币）,涨幅,公司,居住地,主业,年龄
1,0,钟睒睒,4550,17%,养生堂,浙江杭州,饮料、医疗保健,68
2,0,张一鸣,2450,-28%,字节跳动,北京,社交媒体,39
3,0,曾毓群,2300,-28%,宁德时代,福建宁德,锂电池,54
4,4,李嘉诚家族,2200,2%,长江实业,香港,投资,94
5,-1,马化腾,2150,-32%,腾讯,广东深圳,互联网服务,51
6,8,丁磊,1950,14%,网易,浙江杭州,互联网技术,51
7,2,何享健家族,1900,-11%,美的,广东佛山,家电制造、房地产,80
8,7,秦英林、钱瑛夫妇,1850,9%,牧原,河南南阳,畜牧,"57, 56"
9,-4,马云家族,1800,-29%,阿里系,浙江杭州,电子商务、金融科技,58
10,-4,黄峥,1700,-26%,拼多多,上海,购物网站,42
11,1,陈建华、范红卫夫妇,1500,-16%,恒力,江苏苏州,化纤、石化、房地产,"51, 55"
11,17,刘永行、刘相宇父子,1500,15%,东方希望,上海,氧化铝、重化工、饲料,"74, 47"
11,14,吕向阳、张长虹夫妇,1500,10%,融捷,广东广州,投资,"60, 61"
14,1,李兆基,1450,-15%,恒基兆业,香港,房地产,94
14,6,王传福,1450,2%,比亚迪,广东深圳,汽车、充电电池,56
14,-4,王卫,1450,-25%,顺丰,香港,快递,52
14,16,严昊,1450,16%,太平洋建设,江苏南京,基础建设,36
18,0,郑家纯家族,1400,-10%,周大福,香港,房地产,75
19,14,李蔡美灵家族,1350,13%,李锦记,香港,调味品,-
19,-6,李书福家族,1350,-23%,吉利,浙江杭州,汽车制造,59
21,-4,庞康,1300,-18%,海天味业,广东佛山,调味品,66
21,-14,魏建军、韩雪娟夫妇,1300,-40%,长城,河北保定,汽车制造,"58, 56"
23,7,刘汉元、管亚梅夫妇,1250,0%,通威,四川成都,新能源、农业,"58, 58"
24,15,吴光正家族,1200,9%,会德丰,香港,房地产,76
25,-6,王兴,1150,-21%,美团,北京,生活服务,43
26,-2,黄世霖,1100,-20%,宁德时代,福建宁德,锂电池,55
26,11,李西廷,1100,-4%,迈瑞,新加坡,医疗器械,71
26,10,王文银家族,1100,-5%,正威,广东深圳,有色金属贸易,54
26,9,徐航,1100,-7%,迈瑞、鹏瑞,广东深圳,医疗器械、房地产,60
30,-4,刘强东、章泽天夫妇,1050,-22%,京东,北京,电子商务、金融,49
30,7,严彬,1050,-9%,华彬,北京,饮料、地产,68
32,36,吕志和家族,1000,33%,银河,香港,博彩,93
32,9,王健林家族,1000,-5%,万达,北京,房地产、文化,68
32,1,宗庆后家族,1000,-17%,娃哈哈,浙江杭州,饮料,77
35,-14,罗立国家族,980,-30%,合盛,浙江宁波,硅材料,66
36,-10,陈邦,950,-30%,爱尔眼科,湖南长沙,医疗服务,57
36,5,刘永好家族,950,-10%,新希望,四川成都,农业、化工、金融,71
36,36,张刚家族,950,32%,信发铝电,山东聊城,电解铝、氧化铝,41
36,-7,张志东,950,-25%,腾讯,广东深圳,互联网服务,50
40,11,刘銮雄家族,910,1%,华人置业,香港,房地产,71
41,20,林立,885,9%,立业,广东深圳,投资,59
42,4,陈东升家族,825,-13%,泰康,北京,保险,65
43,-22,蒋仁生家族,820,-41%,智飞生物,重庆,疫苗,69
43,0,郑淑良家族,820,-20%,魏桥创业,山东滨州,铝业、纺织,76
45,69,赵长鹏,800,54%,币安,迪拜,虚拟货币交易所,45
46,13,李彦宏、马东敏夫妇,755,-10%,百度,北京,网络信息服务,"54, 52"
47,41,杜双华,750,21%,日照钢铁,山东日照,钢铁,57
47,-26,雷军,750,-46%,小米,北京,智能硬件与技术、投资,53
47,-36,杨惠妍家族,750,-59%,碧桂园,广东佛山,房地产、教育,41
50,15,王玉锁、赵宝菊夫妇,735,-6%,新奥,河北廊坊,天然气、能源化工,"58, 57"
50,-4,吴亚军家族,735,-23%,龙湖,北京,房地产,58
52,-7,党彦宝,730,-27%,宝丰,宁夏银川,煤化工,49
53,1,李振国、李喜燕夫妇,725,-18%,隆基,陕西西安,硅材料,"54, 54"
54,52,靳保芳家族,710,29%,晶澳科技,河北邢台,光伏,70
54,-11,李水荣,710,-31%,荣盛控股,浙江杭州,化纤,66
56,26,梁稳根,700,4%,三一,湖南长沙,重型机械,66
57,18,邝肖卿,695,-1%,新鸿基,香港,房地产,93
57,-2,徐浩宇家族,695,-21%,扬子江药业,江苏泰州,医药,50
59,-8,其实家族,690,-23%,东方财富,上海,信息服务,52
60,-11,裴振华、容建芬夫妇,685,-26%,天华超净,江苏苏州,超净产品,"63, 59"
61,32,黄楚龙家族,650,10%,星河,广东深圳,房地产、投资,63
61,13,李华,650,-8%,卓越,广东深圳,房地产,56
63,27,朱保国家族,640,7%,健康元,广东深圳,医药,60
64,-13,龚虹嘉、陈春梅夫妇,615,-32%,海康威视,香港,视频监控产品,"57, 57"
64,91,李泽楷,615,62%,电讯盈科,香港,电信,56
64,61,汪俊林,615,28%,郎酒,四川成都,房地产、白酒,60
67,-21,张勇、舒萍夫妇,610,-36%,海底捞,新加坡,餐饮,"51, 52"
68,11,刘金成、骆锦红夫妇,605,-13%,亿纬锂能,广东惠州,锂电池,"58, 55"
69,-6,缪汉根、朱红梅夫妇,595,-26%,盛虹,江苏苏州,印染、化纤、房地产,"57, 59"
70,-1,于泳,590,-20%,鸿商产业,上海,钼矿,-
71,20,姚良松,585,-2%,欧派家居,广东广州,橱柜,58
71,-16,张聪渊家族,585,-34%,华利实业,广东中山,鞋业,74
73,22,陈丽华,580,0%,富华,北京,房地产、紫檀博物馆,81
73,10,蒋卫平家族,580,-12%,天齐,四川遂宁,锂矿,67
75,18,郭台铭,570,-3%,鸿海,台湾台北,电子制造,72
76,23,沈国军家族,565,-2%,银泰,北京,零售、房地产、物流,60
76,29,王来胜、王雅媛父女,565,2%,立讯精密,广东深圳,消费电子,"58, 30"
76,159,邬建树,565,113%,拓普,浙江宁波,汽车零部件制造,58
79,31,王来春,560,5%,立讯精密,广东深圳,消费电子,55
79,217,张和君,560,149%,德业股份,浙江宁波,电器零部件制造,70
81,62,高纪凡家族,525,22%,天合光能,江苏常州,光伏产品,57
82,-2,孙飘扬,520,-23%,恒瑞,江苏连云港,医药,64
83,1,曹仁贤,510,-22%,阳光电源,安徽合肥,光伏设备,54
83,3,李平,510,-20%,宁德时代,福建宁德,锂电池,54
83,-26,林建华、张虹夫妇,510,-40%,福斯特,浙江杭州,光伏材料,"60, 62"
83,-8,钟慧娟,510,-27%,翰森,江苏连云港,医药,61
87,30,陈天桥、雒芊芊夫妇,500,0%,盛大,美国加州,投资,"49, 48"
87,31,赖海民,500,0%,鸿荣源,广东深圳,房地产,56
87,-29,汪立平家族,500,-41%,恒立液压,江苏常州,高压油缸,56
87,38,汪滔,500,4%,大疆,广东深圳,无人机,42
87,62,许仰天,500,25%,希音,广东广州,电商,39
87,-14,朱孟依家族,500,-30%,合生创展,广东广州,房地产、投资,63
93,11,赵燕家族,495,-12%,华熙国际,北京,生物医药、房地产,56
94,-7,蔡崇信,490,-22%,阿里系,香港,电子商务、金融科技,58
94,1,杜纪川,490,-16%,金士顿科技,美国洛杉矶,半导体,81
94,1,孙大卫,490,-16%,金士顿科技,美国洛杉矶,半导体,71
94,208,严昕,490,123%,苏商,江苏淮安,基础设施建设,39
98,39,孙寿宽,480,7%,嘉晨,辽宁营口,钢铁、耐火材料、煤化工,73
99,17,方威,460,-10%,方大,北京,碳素、钢铁、煤焦,49
99,42,简军,460,5%,爱美客,北京,生物制药,59
101,-35,丁世忠,455,-41%,安踏,福建厦门,体育用品,52
102,-27,李革、赵宁夫妇,450,-36%,药明康德,上海,医药,"55, 56"
102,73,李天颖家族,450,32%,新鸿基,香港,房地产,-
102,20,鲁伟鼎家族,450,-8%,万向,浙江杭州,汽车制造业、房地产、农业,51
105,5,程雪,440,-18%,海天味业,广东佛山,调味品,52
105,-38,丁世家,440,-42%,安踏,福建厦门,体育用品,58
105,-34,李晓明家族,440,-39%,恩捷股份,云南玉溪,包装盒生产,64
105,122,王一鸣家族,440,60%,锦浪科技,浙江宁波,光伏逆变器,41
109,-3,蔡奎家族,435,-21%,龙湖,香港,房地产,61
110,-10,阮洪良家族,430,-25%,福莱特,浙江嘉兴,玻璃,61
110,24,阮立平,430,-7%,公牛,浙江宁波,插座,58
110,24,阮学平,430,-7%,公牛,浙江宁波,插座,50
110,41,孙广信,430,10%,广汇,新疆乌鲁木齐,汽车销售、能源、房地产,60
114,121,项光达,425,60%,青山控股,浙江温州,钢铁,64
114,46,朱艳家族,425,18%,贝壳,北京,房地产服务,51
116,28,赖梅松,420,-1%,中通,上海,物流,52
116,-53,虞仁荣,420,-48%,韦尔股份,上海,半导体,56
118,53,沈文荣,415,20%,沙钢,江苏苏州,钢铁,76
118,-23,谢炳家族,415,-28%,中生制药,香港,医药,70
118,21,许世辉家族,415,-7%,达利食品,福建泉州,食品,65
121,28,蔡衍明家族,410,2%,旺旺,台湾台北,食品,65
122,-61,周群飞、郑俊龙夫妇,405,-50%,蓝思科技,湖南长沙,电子器件制造,"52, 50"
123,42,胡凯军,400,14%,远大,北京,医药,60
123,-63,马建荣家族,400,-51%,申洲针织,浙江宁波,纺织、服装,57
123,24,米高·嘉道理家族,400,-2%,中电,香港,能源,81
126,-35,郭广昌,390,-34%,复星,上海,投资,55
126,39,宋建波家族,390,11%,南山,山东烟台,铝业、纺织、房地产,52
128,-10,陈发树,385,-23%,新华都,福建福州,医药、零售、投资,61
129,-89,许荣茂家族,380,-65%,世茂,香港,房地产,72
129,53,张志祥,380,15%,建龙,北京,钢铁、矿业、船运,55
131,33,刘益谦家族,370,4%,新理益,上海,投资,59
131,51,苏海文家族,370,12%,BW,香港,物流,81
133,-19,高德康家族,365,-30%,波司登,江苏苏州,服装,70
133,-4,张茵家族,365,-23%,玖龙纸业,广东东莞,环保造纸,65
135,40,黄如论、黄涛家族,355,4%,世纪金源,北京,房地产,"71, 46"
135,-55,李贤义家族,355,-47%,信义,香港,玻璃,70
135,New,张国华家族,355,New,长荣集团,台湾台北,物流、钢铁,67
138,27,唐彬森,350,0%,元气森林,北京,饮料,40
138,New,张雷,350,New,远景能源,江苏无锡,风电,46
140,-55,邓伟明、吴小歌夫妇,345,-47%,中伟股份,湖南长沙,工业产品,"54, 50"
140,56,梁庆德家族,345,11%,格兰仕,广东佛山,家电,85
140,662,薛敏,345,283%,联影医疗,上海,医疗设备,61
140,198,喻会蛟家族,345,73%,圆通速递,上海,物流,56
140,72,张道才家族,345,17%,三花控股,浙江绍兴,工业设备、汽车零部件、房地产,72
145,6,陈金霞,340,-13%,涌金投资,英国伦敦,医药、投资,54
145,70,陈志列、王蓉夫妇,340,17%,研祥,广东深圳,特种计算机,"59, -"
145,-27,姜滨、胡双美夫妇,340,-32%,歌尔股份,山东潍坊,声学及多媒体产品,"56, 56"
145,6,李想,340,-13%,理想汽车,北京,新能源汽车,41
149,33,聂腾云、陈立英夫妇,335,2%,韵达,上海,物流,"46, 47"
149,16,张宏伟,335,-4%,东方,北京,能源、零售,68
151,-51,何小鹏,330,-42%,小鹏汽车,广东广州,新能源汽车,45
151,-51,霍斯特·帕德威尔家族,330,-42%,创科实业,香港,消费品,77
151,-33,梁丰、邵晓梅夫妇,330,-34%,璞泰来,上海,锂电池材料,"54, -"
151,-41,徐金富,330,-38%,天赐材料,广东广州,化学原料制品,58
155,27,李春安,325,-2%,隆基,陕西西安,硅材料,54
155,-47,李良彬,325,-40%,赣锋锂业,江西新余,有色金属冶炼加工,55
155,-46,李晓华家族,325,-40%,恩捷股份,云南玉溪,包装盒生产,60
155,-30,施永宏、李海燕夫妇,325,-32%,海底捞,北京,餐饮,"52, 50"
159,-34,郭炳联家族,320,-33%,新鸿基,香港,房地产,69
159,-27,郭基辉家族,320,-32%,新鸿基,香港,房地产,39
159,33,涂辉龙,320,0%,海雅,广东深圳,商业、金融、地产,63
159,43,汪建,320,7%,华大基因、碳云,广东深圳,基因检测、医疗大数据,68
163,49,林张素娥家族,315,7%,联邦,台湾台北,房地产、金融,-
163,17,史玉柱、史静父女,315,-6%,巨人,上海,金融、在线游戏、投资,"60, -"
165,37,陈华家族,310,3%,京基,广东深圳,房地产、投资,56
165,50,陈凯旋、李若虹夫妇,310,7%,立白,广东广州,日化用品,64
165,-36,王文京,310,-35%,用友,北京,软件与信息服务,58
165,6,张峻、陶美萦夫妇,310,-10%,富德,广东深圳,保险,59
169,251,李丐腾家族,305,79%,飞科电器,上海,小家电,51
169,-9,林木勤、林煜鹏父子,305,-15%,东鹏饮料,广东深圳,食品饮料,"58, -"
169,-37,杨建良家族,305,-35%,上机数控,江苏无锡,设备制造,53
172,-7,陈红天家族,300,-14%,祥祺,香港,投资、房地产,63
172,43,李义海、李鑫父子,300,3%,济民可信,江西南昌,医药,"59, -"
172,10,缪寿良,300,-9%,富源,广东深圳,房地产、水电,67
172,-13,沈南鹏,300,-19%,红杉,香港,投资,55
172,43,夏佐全,300,3%,比亚迪,广东深圳,汽车、充电电池,59
172,-102,许家印,300,-59%,恒大,广东广州,房地产、投资,64
172,30,朱鼎健家族,300,0%,观澜湖,广东深圳,房地产,48
179,23,董建成家族,290,-3%,东方海外,香港,运输,79
179,-149,李小冬,290,-77%,冬海集团,新加坡,网络游戏、电商,44
179,-69,林斌,290,-46%,小米,北京,智能硬件与技术,54
179,-79,钱东奇、钱程父子,290,-49%,科沃斯,江苏苏州,机器人,"64, 32"
179,17,谢青,290,-6%,飞塔,美国旧金山,网路安全,59
179,-40,尤小平家族,290,-35%,华峰,浙江温州,化工、铝业、投资,64
179,33,赵涛家族,290,-2%,步长,北京,医药,56
186,41,蔡宏图家族,280,2%,霖园,台湾台北,金融服务,70
186,16,辜林瑞慧家族,280,-7%,中信金控,台湾台北,金融服务,89
186,-35,黄立、黄晟父子,280,-28%,高德电气,湖北武汉,电子制造,"59, 33"
186,61,沈华、胡畏夫妇,280,10%,斯达半导,浙江嘉兴,半导体,"59, 58"
186,-57,唐金奎、朱玉琴夫妇,280,-41%,盛虹,江苏苏州,印染、化纤、房地产,"67, -"
186,937,张红超,280,331%,蜜雪冰城,河南郑州,餐饮,46
186,937,张红甫,280,331%,蜜雪冰城,河南郑州,餐饮,38
186,-21,周建平家族,280,-20%,海澜,江苏无锡,服装、投资,61
186,66,朱共山家族,280,12%,协鑫,香港,太阳能芯片、发电厂,64
195,-54,黄毅,275,-38%,中升控股,辽宁大连,汽车销售,59
195,-40,宿华,275,-28%,快手科技,北京,传媒娱乐,40
197,55,蔡志明,270,8%,旭日国际,香港,玩具,77
197,34,徐波,270,0%,多益网络,广东广州,网络游戏,45
199,103,董经贵、钱静红夫妇,265,20%,雅迪,上海,电动车,"52, 47"
199,-149,袁征家族,265,-71%,zoom,美国旧金山,视频软件,52
199,-17,张磊,265,-20%,高瓴资本,香港,投资,50
202,29,何超琼,260,-4%,信德、美高梅中国,香港,博彩,60
202,1422,孙纪木、孙春莉夫妇,260,505%,新华联合冶金,北京,钢铁,"66, -"
202,100,许文龙家族,260,18%,奇美,台湾台南,化工,94
202,39,薛华,260,0%,海大,广东广州,饲料,52
202,13,张文中,260,-10%,物美,北京,零售,60
207,55,蔡政达家族,255,4%,霖园,台湾台北,金融服务,-
207,213,李留法、李凤娈夫妇,255,50%,天瑞,河南平顶山,水泥、铝业,"65, 60"
207,-32,李卫国,255,-25%,东方雨虹,湖南长沙,防水材料,57
207,14,谢华,255,-11%,飞塔,美国旧金山,网路安全,53
207,-85,朱林瑶,255,-48%,华宝国际,广东深圳,香精香料、烟草,52
212,19,安康家族,250,-7%,华兰生物,河南新乡,生物制药,73
212,347,陈大年,250,92%,wifi万能钥匙,上海,上网平台,44
212,-37,杜江涛、郝虹夫妇,250,-26%,君正,内蒙古乌海,能源化工,"53, 53"
212,120,郭梅兰、张寓帅母子,250,22%,东阳光,广东东莞,医药、电子新材料,"59, 35"
212,-10,洪杰,250,-17%,三棵树,福建莆田,涂料,55
212,-13,江南春,250,-18%,分众传媒,上海,数字新媒体、投资,49
212,-76,冷友斌,250,-45%,中国飞鹤,北京,乳业,53
212,50,米恩华,250,2%,华凌工贸,新疆乌鲁木齐,地产、畜牧,64
212,168,徐旭东,250,35%,远东,台湾新北,金融服务,81
212,-67,杨建文家族,250,-40%,伯恩光学,香港,工业产品,69
222,40,罗秋平、潘东夫妇,245,0%,蓝月亮,广东广州,日化用品,"59, 57"
222,-51,杨绍鹏,245,-29%,海丰,上海,航运,66
224,17,曹其峰,240,-8%,永新,香港,杂货,76
224,578,陈士斌、邵静夫妇,240,167%,石英股份,江苏连云港,石英制品,"56, -"
224,-135,陈志平,240,-60%,思摩尔,广东深圳,电子烟,46
224,-22,冯海良,240,-20%,海亮,浙江绍兴,铜加工、投资,62
224,38,林百里家族,240,-2%,广达电脑,台湾桃园,消费电子,73
224,-42,王燕清、倪亚兰夫妇,240,-27%,先导智能,江苏无锡,自动化设备,"56, -"
224,28,叶澄海、廖清清夫妇,240,-4%,信立泰,广东深圳,医药,"79, 73"
224,-64,张虔生家族,240,-33%,日月光,台湾高雄,工业品、房地产,77
224,59,周泽荣,240,4%,侨鑫,广东深圳,房地产、投资,68
233,-58,林秀成、林志强父子,235,-31%,三安,福建厦门,LED,"67, 48"
233,-34,周晓萍家族,235,-23%,星宇股份,江苏常州,汽车灯具,61
235,-33,曾小山家族,230,-23%,曾氏企业,湖南长沙,铝业,77
235,-88,车建兴,230,-44%,红星美凯龙,上海,房地产,56
235,27,钭正刚、尉雪凤夫妇,230,-6%,锦江,浙江杭州,能源、化工,69
235,277,黄炽恒,230,64%,海伦堡,广东广州,房地产、投资,-
235,48,廖龙星,230,0%,长春,台湾台北,化工,-
235,48,林书鸿,230,0%,长春,台湾台北,化工,94
235,80,茅理翔家族,230,7%,方太厨具,浙江宁波,厨具,81
235,128,吴以岭家族,230,21%,以岭,河北石家庄,医药,73
235,12,修涞贵、李艳华夫妇,230,-10%,修正药业,吉林长春,医药,"67, 64"
235,48,郑正,230,0%,长春,台湾台北,化工,-
245,-46,曾芳勤,225,-26%,领益智造,广东深圳,消费电子精密件,57
245,-49,李力,225,-27%,爱尔眼科,湖南长沙,医疗服务,57
245,17,林鸿南家族,225,-8%,宏泰,台湾台北,投资,55
245,76,倪祖根家族,225,7%,莱克电气,江苏苏州,小家电,65
245,-14,潘来灿,225,-17%,海天味业,广东佛山,调味品,-
245,-54,谢良志、李翰园夫妇,225,-31%,神州,北京,生物制药,"56, -"
251,11,蔡东晨,220,-10%,石药,河北石家庄,医药,69
251,112,崔根良、崔巍父子,220,16%,亨通,江苏苏州,电缆、热能电力、投资,"64, 36"
251,21,胡柏藩,220,-8%,新和成,浙江绍兴,医药,60
251,-24,黄联禧、左笑萍夫妇,220,-20%,联塑,广东佛山,建材家居,"59, 49"
251,87,黄文仔,220,10%,星河湾,广东广州,房地产、投资,69
251,156,李赶坡,220,26%,敬业,河北石家庄,钢铁,73
251,-28,刘卫平,220,-21%,卫龙,河南漯河,食品,43
251,-16,穆荣均,220,-17%,美团,北京,生活服务,42
251,70,吴向东,220,5%,华泽,北京,酒业、投资,53
251,70,张松桥,220,5%,中渝,香港,房地产,58
261,60,蔡镇宇,215,2%,宝丰隆,台湾台北,金融,69
261,11,曹德旺,215,-10%,福耀玻璃,福建福州,玻璃,76
261,-59,程一笑,215,-28%,快手科技,北京,传媒娱乐,37
261,54,董凡,215,0%,健帆生物,广东珠海,生物医疗设备,52
261,438,范现国、范明强父子,215,115%,今麦郎,河北邢台,速食,"62, -"
261,-20,解氏家族,215,-17%,中植,北京,投资,61
261,77,王麒诚、吴艳夫妇,215,8%,汉鼎宇佑,上海,文化传媒、投资,"42, 41"
261,11,吴光明、吴群父子,215,-10%,鱼跃医疗,江苏镇江,医疗设备,"60, 34"
269,New,蔡浩宇,210,New,米哈游,上海,游戏,35
269,-98,蔡明兴家族,210,-39%,富邦,台湾台北,金融服务,65
269,111,陈雪华,210,14%,华友钴业,浙江嘉兴,有色金属,61
269,81,高兴江,210,8%,永兴特钢,浙江湖州,不锈钢,59
269,33,刘克振家族,210,-5%,研华,台湾台北,电脑设备,68
269,336,张剑、张格格父女,210,75%,爱玛,天津,电动自行车,"53, 29"
275,46,陈永泰,205,-2%,震旦,台湾台北,办公家具、房地产,86
275,-23,季琦,205,-18%,华住,上海,连锁酒店,56
275,-151,鲁忠芳、李永新母子,205,-58%,中公教育,北京,教育,"80, 46"
275,8,易如波,205,-11%,中昂,重庆,房地产,46
279,-44,岑均达,200,-25%,恒瑞、翰森,江苏连云港,医药,58
279,169,陈明永,200,25%,OPPO,广东东莞,消费电子产品,53
279,59,黄柏年,200,0%,外滩中心,上海,房地产,66
279,4,黄伟、李萍夫妇,200,-13%,新湖,浙江杭州,房地产、金融,"63, -"
279,-119,姜照柏,200,-44%,鹏欣,上海,乳业、房地产、投资,59
279,23,潘石屹、张欣夫妇,200,-9%,SOHO中国,美国纽约,房地产,"59, 57"
279,-7,史贵禄家族,200,-17%,荣民,陕西西安,房地产,57
279,303,吴少勋,200,60%,劲牌,湖北黄石,保健酒,66
287,-105,蔡明忠家族,195,-41%,富邦,台湾台北,金融服务,66
287,-93,黄敏利、许慧卿夫妇,195,-38%,敏华,香港,休闲沙发,"57, 59"
287,-150,李斌,195,-57%,蔚来、易车,上海,电动车,48
287,51,李锂、李坦夫妇,195,-3%,海普瑞,广东深圳,医药,"58, 58"
287,New,邵建雄,195,New,禾迈股份,浙江杭州,光伏逆变器,58
287,-132,孙宏斌,195,-49%,融创,天津,房地产,59
287,-35,吴冠江、刘铁鹰夫妇,195,-22%,智飞生物,重庆,疫苗,"54, -"
287,28,尹衍梁家族,195,-9%,润泰,台湾台北,建筑开发、金融保险,72
287,161,周剑,195,22%,迈为股份,江苏苏州,智能制造装备,46
296,-73,傅利泉、陈爱玲夫妇,190,-32%,大华技术,浙江杭州,软件、电子通讯产品,"55, 55"
296,42,郭振宇、KevinGuo父子,190,-5%,贝泰妮,云南昆明,护肤品,"59, 28"
296,0,赖建平,190,-16%,海天味业,广东佛山,调味品,-
296,-141,李华,190,-50%,富途,香港,金融服务,44
296,-49,李文斌家族,190,-25%,俊发,香港,房地产,47
296,67,彭国远,190,0%,心里程,广东深圳,教育、房地产,36
296,506,戚金兴、戚加奇父子,190,111%,滨江,浙江杭州,房地产,"60, 34"
296,111,沈炜,190,9%,VIVO,广东东莞,消费电子产品,52
296,84,王华君、吴兰兰夫妇,190,3%,裕同包装,广东深圳,包装,"52, 48"
296,36,王水福,190,-7%,西子联合控股,浙江杭州,电梯、锅炉、房地产,67
296,36,王正华、王煜父子,190,-7%,春秋航空,上海,航空,"78, 52"
296,0,虞锋家族,190,-16%,云锋基金,上海,投资,59
296,6,张力、张量父子,190,-14%,富力地产,广东广州,房地产、矿业,"69, 40"
309,41,顾江生家族,185,-5%,顾家家居,浙江杭州,家具,59
309,123,李仲初家族,185,12%,石基,北京,软件与信息服务,59
309,-88,林宏修家族,185,-35%,融侨,福建福州,房地产,71
309,-26,刘炽平,185,-20%,腾讯,广东深圳,互联网服务,49
309,-13,彭蕾,185,-18%,阿里系,新加坡,电子商务、金融科技,51
309,203,彭铁缆,185,32%,博深集团,湖南长沙,企业服务,47
309,82,邱敏秀家族,185,3%,晶盛机电,浙江绍兴,机电设备,77
309,-107,叶小平,185,-38%,泰格医药,浙江杭州,医药,59
309,New,张国涛、卢依雯夫妇,185,New,迪阿,广东深圳,珠宝首饰,"37, 35"
309,-26,赵丰刚,185,-20%,宁德时代,福建宁德,锂电池,56
319,1147,郭恩元家族,180,267%,普阳钢铁,河北邯郸,钢铁,74
319,44,黄茂如、张静夫妇,180,-5%,茂业,广东深圳,房地产,"57, -"
319,263,林陈海家族,180,44%,宝佳,台湾新北,房地产,77
319,-36,汪建国、汪浩父子,180,-22%,五星投资,江苏南京,电子商务、儿童用品连锁,"62, -"
319,-78,王希成家族,180,-31%,玲珑轮胎,山东烟台,轮胎,74
319,-139,王振华、王晓松父子,180,-46%,新城,上海,房地产,"60, 35"
319,72,谢伟通,180,0%,华友钴业,浙江嘉兴,有色金属,65
319,-78,徐广福、徐翔父子,180,-31%,大全,江苏镇江,电气设备制造、太阳能,"80, 51"
319,-154,赵立新、曹维夫妇,180,-49%,格科微,上海,CMOS图像传感器,"56, 49"
328,52,池宇峰,175,-5%,完美世界,北京,网游、影视娱乐,51
328,-32,葛卫东,175,-22%,混沌投资,上海,投资,53
328,-146,南存辉,175,-47%,正泰,浙江温州,工业电器、投资,59
328,147,蒲忠杰、张月娥夫妇,175,17%,乐普,北京,医疗设备,"59, 59"
328,52,王均金,175,-5%,均瑶,上海,房地产、航空、零售,54
328,-93,易峥,175,-34%,同花顺,浙江杭州,软件,52
328,-26,张兴海、颜敏夫妇,175,-20%,小康控股,重庆,汽车、汽车零配件,"59, -"
328,-76,周鸿祎,175,-30%,三六零安全科技,北京,网络信息服务,52
336,112,陈凯臣、马惠真夫妇,170,6%,立白,广东广州,日化用品,-
336,55,陈泰铭家族,170,-6%,国巨,台湾台北,电子制造、收藏,66
336,-21,花轩德家族,170,-21%,中贝九洲,浙江台州,医药,79
336,-34,黄达文,170,-23%,合盛,浙江宁波,硅材料,62
336,112,黄光苗,170,6%,中洲,广东深圳,房地产,53
336,-84,蒋业华,170,-32%,华宇,重庆,房地产,59
336,55,李洪信,170,-6%,太阳纸业,山东济宁,造纸,69
336,2,梁绍鸿,170,-15%,大鸿辉,香港,房地产,70
336,-56,梁允超家族,170,-28%,汤臣倍健,广东珠海,保健品,53
336,27,廖汤慧霭,170,-11%,纪惠,香港,房地产,74
336,14,林刚,170,-13%,康哲药业,广东深圳,医药,58
336,112,陆地,170,6%,大疆,广东深圳,无人机,-
336,84,戚振波,170,0%,美腕,上海,新零售,-
336,176,邵钦祥家族,170,21%,花园,浙江金华,工业制造、房地产,68
336,96,唐立新,170,3%,新尚,四川成都,零售、房地产,59
336,-21,吴凯,170,-21%,宁德时代,福建宁德,锂电池,54
336,2,邢李㷧,170,-15%,思捷环球,香港,投资,73
336,55,阎志,170,-6%,卓尔,湖北武汉,房地产、投资,50
336,96,赵藤雄家族,170,3%,远雄,台湾台北,房地产,78
336,84,郑春颖,170,0%,伽蓝,上海,化妆品,58
356,156,陈谭庆芬家族,165,18%,恒隆,香港,房地产,-
356,119,邓鸿,165,10%,成都环球世纪,四川成都,房地产,59
356,7,贺正刚,165,-13%,和邦股份,四川乐山,矿产、化工,68
356,-162,洪浩,165,-48%,凯莱英,天津,医药,66
356,203,侯军呈,165,27%,珀莱雅,浙江杭州,化妆品,58
356,-121,李国强,165,-38%,中升控股,辽宁大连,汽车销售,58
356,-84,李建全家族,165,-31%,稳健医疗,广东深圳,医疗用品,"65, -"
356,119,林敏雄,165,10%,元利,台湾台北,房地产,72
356,51,罗才仁家族,165,-6%,正新橡胶,台湾彰化,轮胎制造,69
356,-54,齐向东,165,-25%,奇安信,北京,网络安全,58
356,-6,沈锡强家族,165,-15%,雅克科技,江苏无锡,化工新材料,74
356,119,孙孟全家族,165,10%,鲁花,山东烟台,食用油,72
356,291,谢秉昆家族,165,50%,坤彩科技,福建福州,珠光材料,56
356,76,徐乘家族,165,0%,徐福记,广东东莞,食品,70
356,-24,朱兴明、朱瀚玥父女,165,-20%,汇川技术,广东深圳,工业自动化产品,55
371,-144,曹骥、曹政父子,160,-42%,杭可科技,浙江杭州,锂电池,"70, 39"
371,1253,李仙德,160,272%,晶科能源,江西上饶,太阳能,47
371,125,梁光伟,160,10%,华强,广东深圳,投资,59
371,20,罗家宝,160,-11%,百乐,香港,房地产,73
371,-88,陶悦群,160,-30%,欧普康视,安徽合肥,医疗器械制造、销售,62
371,-21,汪林朋,160,-18%,居然之家,北京,家居建材,54
